"","iso3_code","country","region","year","homicide_rate","violence_rate","gdp","inflation_rate","unemployment_rate","hdi","crime_rate","personnel_rate","trafficked_victims","alcohol_consumption_rate"
"72","AZE","Azerbaijan","Asia",2017,1.80706736101741,0.963107329773014,40866627351.9817,12.9359184187335,5,0.754,9.74411047838549,4.79567876577696,70,1.59
"73","AZE","Azerbaijan","Asia",2018,1.94040456154638,0.833536731070368,47112470051.7701,2.26854690373999,4.9,0.757,8.45884120502979,5.54542014289651,98,1.97
"74","AZE","Azerbaijan","Asia",2019,1.64178691697142,0.80134837614081,48174235294.1176,2.61057182799215,5,0.762,6.51339869143719,5.30648985663975,91,1.97
"75","AZE","Azerbaijan","Asia",2020,2.23627706150472,0.765681819971724,4.2693e+10,2.75980947008127,7.24,0.722,6.70744219255049,NA,94,2.49
"76","AZE","Azerbaijan","Asia",2021,1.91021189583004,0.804810088090828,54825411764.7059,6.65029912708779,6.04,0.738,1.36114718211747,NA,95,NA
"77","AZE","Azerbaijan","Asia",2022,2.36530459234024,NA,78807470588.2353,13.8522590144267,5.65,0.76,NA,NA,NA,NA
"78","BHS","Bahamas","Americas",2015,37.1787444534279,192.842000340139,11671900000,1.86148302863371,12,0.807,19.8626168997765,NA,NA,4.36
"79","BHS","Bahamas","Americas",2016,28.0319665434691,285.212632567843,11745100000,-0.346376929989397,12.7,0.809,45.3057188999854,NA,NA,4.37
"80","BHS","Bahamas","Americas",2017,30.5749085258884,255.219036639768,12236700000,1.51820700736147,9.8,0.812,95.9623805596438,651.596411207458,NA,4.38
"81","BHS","Bahamas","Americas",2018,22.6420821758295,167.838926604958,12615800000,2.26586346678736,10,0.814,71.1022852037359,165.312081292539,NA,4.39
"82","BHS","Bahamas","Americas",2019,23.4824758933846,166.354802907872,13016200000,2.49123527368046,10.011,0.802,58.1463907725356,121.437946762932,NA,4.39
"83","BHS","Bahamas","Americas",2020,17.9594387306367,103.19160001241,9958200000,0.0385210980054558,12.804,0.798,68.017213564861,NA,NA,3.65
"84","BHS","Bahamas","Americas",2021,29.1734237464315,114.051470799541,11368900000,2.90491262928478,11.694,0.799,77.0939808939311,332.184782995081,NA,NA
"85","BHS","Bahamas","Americas",2022,31.2207305650952,189.178114267874,13136400000,5.60540633583044,9.87,0.82,99.711208242273,NA,NA,NA
"86","BHR","Bahrain","Asia",2015,0.220241355159741,NA,31125851063.8298,1.84862742374977,1.166,0.859,NA,NA,78,1.89
"87","BHR","Bahrain","Asia",2016,0.283756165489433,NA,32250132978.7234,2.78679347602044,1.195,0.862,NA,NA,13,1.77
"88","BHR","Bahrain","Asia",2017,0.411852002355793,NA,35423643617.0213,1.38671830576406,1.196,0.867,NA,NA,15,1.65
"89","BHR","Bahrain","Asia",2018,0.336170613309667,NA,37802005319.1489,2.08766938046978,1.202,0.88,NA,NA,10,1.58
"90","BHR","Bahrain","Asia",2019,0.267703750998033,NA,38653318085.1064,1.00582004702137,1.226,0.888,NA,NA,26,1.58
"91","BHR","Bahrain","Asia",2020,0,NA,34621807712.766,-2.31770629331379,1.767,0.884,NA,NA,63,1.25
"92","BHR","Bahrain","Asia",2021,0.068340274427206,NA,39288670212.766,-0.60631938514085,1.551,0.884,NA,NA,83,NA
"93","BHR","Bahrain","Asia",2022,0.203772093140148,NA,44383297872.3404,3.62574104304482,1.326,0.888,NA,NA,NA,NA
"94","BGD","Bangladesh","Asia",2015,2.55654818475575,NA,195146607942.291,6.19428022984984,4.382,0.604,NA,NA,NA,0.005
"95","BGD","Bangladesh","Asia",2016,2.24740099902889,NA,265224514652.992,5.51352572692995,4.35,0.613,NA,NA,NA,0.005
"96","BGD","Bangladesh","Asia",2017,2.19353053244928,NA,293732447017.328,5.70207015717239,4.372,0.622,NA,NA,733,0.005
"97","BGD","Bangladesh","Asia",2018,2.33987499251454,NA,321362751137.574,5.54362139486476,4.532,0.636,NA,NA,502,0.005
"98","BRB","Barbados","Americas",2015,11.1477508513645,122.565325220647,4738650450,-1.11278992510967,9.803,0.798,169.68212470994,218.160285478316,NA,9.18
"99","BRB","Barbados","Americas",2016,7.89523737748924,86.1298622998827,4848210350,1.28192813061895,8.247,0.801,135.259771253441,169.149479572269,NA,9.4
"100","BRB","Barbados","Americas",2017,10.7454860004227,46.6085455268333,5000457800,4.66018463955996,8.622,0.803,67.6333530614838,156.794549889501,NA,9.49
"101","BRB","Barbados","Americas",2018,10.0111373903468,42.0110229773481,5128345200,3.67381410406801,8.322,0.804,126.56937986367,154.457548308207,NA,9.47
"102","BRB","Barbados","Americas",2019,17.1318743876693,51.038709113265,5367139250,4.10028964518461,8.413,0.806,117.067808315741,153.562269901974,NA,9.47
"103","BRB","Barbados","Americas",2020,14.6067055466292,66.4172499594117,4779756550,NA,9.756,0.803,50.3886808719847,154.379814720472,NA,8.22
"104","BRB","Barbados","Americas",2021,11.3798210878753,53.7874356106608,4945276000,NA,9.417,0.803,37.2772815782975,150.071390596356,NA,NA
"105","BRB","Barbados","Americas",2022,15.2679887087897,59.6009526007573,5840673700,NA,8.493,0.809,70.8363662186873,NA,NA,NA
"106","BLR","Belarus","Europe",2015,3.36061375115727,3.0086476308564,56454889146.6088,13.5344897649735,5.881,0.809,6.18002436754229,12.2363451614223,121,11.04
"107","BLR","Belarus","Europe",2016,3.16230450623242,3.33005821200743,47723545321.259,11.8365807653497,5.844,0.809,2.74341074970651,14.24067094419,184,10.55
"108","BLR","Belarus","Europe",2017,2.47221946386625,3.82016769535522,54725302249.8088,6.03183725177793,5.648,0.811,4.28346358496269,14.2976692326931,131,10.64
"109","BLR","Belarus","Europe",2018,2.33096049805819,4.50721122854614,60031173807.7196,4.87230220550684,4.763,0.812,5.19309119810751,16.4817472384822,142,10.9
"110","BLR","Belarus","Europe",2019,2.32582876256296,3.84241678742148,64410122847.3508,5.59815595039854,4.165,0.81,7.13771004688768,16.3945085218883,126,10.9
"111","BEL","Belgium","Europe",2021,1.07652638523109,151.371092711601,600904461226.347,2.44024851144084,6.264,0.938,17.9633498745201,209.526483410298,NA,NA
"112","BLZ","Belize","Americas",2015,33.0674047089096,21.896735219009,2194709309.24204,-0.861584009427748,7.578,0.714,153.573549040258,NA,NA,6.34
"113","BLZ","Belize","Americas",2016,37.5701888718734,23.4133061085588,2240593542.9757,0.663427167917601,7,0.72,150.371504735976,NA,NA,6.15
"114","BLZ","Belize","Americas",2017,37.8976416724603,60.2270033151541,2266664817.08822,1.14765339305816,6.596,0.716,79.1758241513842,7.47277441428794,11,5.92
"115","BLZ","Belize","Americas",2018,37.4280883407579,11.8653147187484,2292787335.62452,0.269982622646335,7.899,0.715,79.0439348175446,6.80510697104689,11,5.71
"116","BLZ","Belize","Americas",2019,34.4388902453128,93.2077427534835,2386792476.10637,0.187069385181424,9.053,0.718,16.1123395809012,108.199796964752,NA,5.71
"117","BLZ","Belize","Americas",2020,25.8279831003962,49.0876373490722,2047727810.06777,0.121434644614894,10.7,0.705,16.0088479129906,NA,NA,3.67
"118","BLZ","Belize","Americas",2021,31.2475783126808,44.2465708907559,2424575179.3783,3.23563659237071,10.157,0.698,13.8489267081801,NA,5,NA
"119","BLZ","Belize","Americas",2022,27.8824741377715,54.9894559480703,2830507575.6841,6.27689319447544,8.724,0.7,24.2870097103977,NA,NA,NA
"120","BMU","Bermuda","Americas",2015,6.33472697326745,72.5326238439123,6654541000,NA,NA,NA,1163.21424046624,652.476878246548,NA,NA
"121","BMU","Bermuda","Americas",2016,12.6847212532505,89.5858438510814,6899911000,NA,NA,NA,1172.54392084734,394.019153929093,NA,NA
"122","BMU","Bermuda","Americas",2017,7.90201501382853,69.8538127222442,7142316000,NA,NA,NA,NA,233.636243908863,NA,NA
"123","BMU","Bermuda","Americas",2018,7.86522156329144,NA,7225977000,NA,NA,NA,NA,108.015709469202,NA,NA
"124","BMU","Bermuda","Americas",2019,0,NA,7423465000,NA,NA,NA,NA,109.959281111816,NA,NA
"125","BMU","Bermuda","Americas",2020,10.9322900805085,NA,6887147000,NA,NA,NA,NA,103.596463143866,NA,NA
"126","BMU","Bermuda","Americas",2021,10.9059749162577,NA,7286607000,NA,NA,NA,NA,99.7117706629273,NA,NA
